0	-98.925972	0.000004	805.031433
1	-97.578987	0.000006	1308.176147
2	-98.036560	0.000005	1308.176147
3	-97.298698	0.000006	1358.490601
4	-98.036560	0.000005	1106.918213
5	-97.726219	0.000006	1106.918213
6	-97.726219	0.000006	1207.547241
7	-98.036560	0.000005	1257.861572
8	-97.436584	0.000006	1408.805054
9	-97.298698	0.000006	1207.547241
10	-98.036560	0.000005	905.660400
11	-98.200462	0.000005	1207.547241
12	-97.035408	0.000006	1408.805054
13	-97.578987	0.000006	1308.176147
14	-77.174278	0.000102	905.660400
15	-83.542061	0.000046	1358.490601
16	-84.845116	0.000037	1509.433960
17	-85.115639	0.000039	1610.062866
18	-81.180801	0.000067	1459.119385
19	-85.430550	0.000036	1610.062866
20	-86.461884	0.000032	2213.836426
21	-83.276085	0.000050	1761.006226
22	-86.406273	0.000030	1308.176147
23	-88.566223	0.000022	1509.433960
24	-87.622635	0.000029	1207.547241
25	-88.985603	0.000025	1811.320801
26	-86.117706	0.000034	1006.289368
27	-86.107376	0.000033	2012.578735
28	-86.148834	0.000034	1157.232788
29	-90.097107	0.000019	1308.176147
30	-88.388206	0.000026	1358.490601
31	-85.492783	0.000036	1811.320801
32	-81.234215	0.000064	1509.433960
33	-80.537483	0.000069	1610.062866
34	-80.560432	0.000072	1710.691772
35	-78.811035	0.000089	1358.490601
36	-77.762306	0.000097	1610.062866
37	-79.134216	0.000084	1459.119385
38	-79.350769	0.000082	1257.861572
39	-78.719719	0.000091	2062.893066
40	-79.952202	0.000078	2062.893066
41	-81.257790	0.000064	2062.893066
42	-77.844627	0.000099	1811.320801
43	-74.195084	0.000154	1157.232788
44	-73.693832	0.000167	855.345886
45	-76.773926	0.000118	855.345886
46	-79.449852	0.000087	1308.176147
47	-81.177483	0.000066	2213.836426
48	-81.483040	0.000062	1911.949585
49	-85.190163	0.000040	1911.949585
50	-86.066307	0.000036	1559.748413
51	-85.555916	0.000040	1911.949585
52	-82.614304	0.000058	1509.433960
53	-83.837616	0.000047	1257.861572
54	-80.679977	0.000071	1207.547241
55	-83.148964	0.000048	1207.547241
56	-81.525932	0.000061	1559.748413
57	-77.385056	0.000109	955.974792
58	-82.721771	0.000054	1559.748413
59	-84.656425	0.000043	1459.119385
60	-81.869667	0.000066	1459.119385
61	-87.073898	0.000031	1861.635254
62	-88.284798	0.000024	1408.805054
63	-86.715385	0.000031	1559.748413
64	-81.426498	0.000062	2364.780029
65	-83.071365	0.000052	1106.918213
66	-84.829712	0.000039	1811.320801
67	-85.555916	0.000036	2113.207520
68	-86.076538	0.000034	1710.691772
69	-87.550133	0.000027	1610.062866
70	-86.872452	0.000033	1509.433960
71	-86.169716	0.000036	1811.320801
72	-82.740738	0.000049	1408.805054
73	-81.646126	0.000057	1459.119385
74	-85.955338	0.000037	1459.119385
75	-86.097076	0.000031	1710.691772
